1052,1057,1048,1069,1041,1056,1033,1047,1062,1032,1047,1029,1044,1043,1040,1042,1063,1030,1032,1050,1039,1039,1048,1025,1045,1021,1042,1252,1244,1256,1251,1034,1041,1028,1128,1263,1276,1279,1268,1275,1265,,,
0.047680242,0.051341446,0.049745241,0.047814448,0.044637592,0.044887449,0.046931403,0.046505578,0.044713986,0.044903294,0.046505578,0.047054685,0.046596094,0.04526853,0.046040943,0.048643643,0.047995957,0.046343903,0.047634476,0.047741418,0.045387254,0.049388066,0.049745241,0.047178697,0.049840433,0.04662043,0.048643643,0.043863147,0.045157242,0.044864277,0.043887052,0.04823726,0.048674977,0.049740275,0.047192417,0.044695346,0.048052211,0.043773875,0.045114143,0.044946081,0.045186603,,,
0.047021224,0.044858434,0.047802771,0.047167277,0.044637592,0.044202518,0.046931403,0.046505578,0.04264386,0.044202518,0.046505578,0.046374446,0.045921001,0.04526853,0.043969076,0.045980884,0.046691436,0.045656964,0.046962155,0.047741418,0.045387254,0.048081068,0.049745241,0.046497072,0.047233833,0.04662043,0.043911148,0.042179559,0.043497005,0.043767823,0.043330524,0.046222182,0.04801891,0.049740275,0.045369505,0.042489918,0.045982533,0.043773875,0.042932114,0.044946081,0.045186603,,,
0.045683214,0.044858434,0.044433364,0.044513507,0.043235131,0.044202518,0.045566661,0.044462411,0.04122663,0.043494219,0.045150501,0.046374446,0.044549808,0.042466183,0.043263747,0.043911148,0.046029428,0.044962822,0.045596717,0.04708175,0.044696331,0.0474178,0.04845659,0.046497072,0.044520633,0.043815666,0.043911148,0.042179559,0.042933898,0.043212484,0.043330524,0.046222182,0.047356299,0.04571739,0.043494148,0.042489918,0.042192036,0.043228617,0.04237479,0.044946081,0.042443783,,,
0.045003935,0.044173852,0.043738387,0.044513507,0.042522536,0.042103939,0.044173185,0.042353979,0.039777954,0.042778219,0.045150501,0.046374446,0.040991542,0.042466183,0.041829975,0.043206557,0.044685222,0.044962822,0.045596717,0.04708175,0.044696331,0.043292406,0.044433364,0.044409079,0.044520633,0.043815666,0.042494339,0.041608358,0.04236579,0.042652285,0.043330524,0.045536649,0.047356299,0.043610494,0.042213136,0.042489918,0.038753609,0.042123959,0.04181256,0.043321317,0.041312852,,,
0.041498438,0.043482091,0.042326032,0.041038729,0.041802119,0.042103939,0.043465259,0.040909767,0.039777954,0.042778219,0.043767074,0.044290779,0.040256082,0.042466183,0.041101149,0.042494339,0.043313094,0.043552269,0.044903294,0.046415458,0.043998104,0.043292406,0.044433364,0.04369816,0.044520633,0.043815666,0.041774306,0.041608358,0.03884633,0.042652285,0.042769118,0.045536649,0.047356299,0.043610494,0.040906233,0.042489918,0.038161902,0.041564379,0.04181256,0.042214784,0.039577819,,,
0.040774286,0.042076361,0.04088259,0.040321087,0.039591932,0.041389233,0.043465259,0.040175499,0.039041314,0.042778219,0.040175499,0.04358136,0.038759688,0.038785809,0.039618588,0.041046263,0.042616157,0.041378069,0.042778219,0.045062433,0.041857872,0.043292406,0.040148719,0.04369816,0.044520633,0.043095455,0.040310006,0.041608358,0.03884633,0.042652285,0.042769118,0.044843942,0.046010891,0.042892968,0.040242699,0.041358007,0.03756456,0.041564379,0.04181256,0.041088727,0.037793782,,,
0.040041996,0.040639808,0.037895888,0.03811926,0.038838168,0.041389233,0.041294554,0.040175499,0.038296177,0.04132235,0.03943284,0.042139159,0.037998287,0.038023985,0.038864407,0.040310006,0.039751765,0.037584995,0.04132235,0.044375399,0.041857872,0.043292406,0.0386556,0.042979486,0.041691114,0.043095455,0.040310006,0.041031988,0.038240228,0.042087132,0.042202737,0.042721102,0.04394009,0.042167522,0.040242699,0.039621443,0.036961455,0.040999839,0.04181256,0.041088727,0.037793782,,,
0.037794105,0.032107357,0.037127073,0.036608369,0.036522393,0.036927539,0.039806311,0.037921429,0.036007361,0.039075763,0.038681564,0.041405992,0.034048603,0.037253015,0.038864407,0.040310006,0.036754907,0.036798827,0.036748217,0.042979486,0.038890686,0.037354461,0.036348889,0.039262827,0.041691114,0.042367269,0.040310006,0.040450345,0.037628214,0.041516928,0.038694264,0.039779371,0.04394009,0.041433957,0.040242699,0.039031838,0.036352454,0.040999839,0.041245326,0.040518135,0.037793782,,,
0.027900256,0.030422474,0.037127073,0.030172621,0.036522393,0.032129384,0.037507797,0.036373562,0.035225738,0.032668367,0.034787025,0.041405992,0.034048603,0.035682547,0.03810131,0.037278318,0.033609929,0.036798827,0.036748217,0.030570369,0.034166184,0.037354461,0.034763258,0.038493294,0.037972629,0.043815666,0.036497493,0.038672649,0.037628214,0.040941572,0.038090102,0.037482143,0.034119043,0.040692065,0.03539372,0.037835796,0.036352454,0.040999839,0.041245326,0.039942365,0.037793782,,,
0.02699751,0.027802719,0.026154396,0.020993458,0.034930397,0.028708944,0.022561671,0.033978488,0.033632702,0.030084611,0.029768617,0.03682419,0.03239637,0.035682547,0.016061274,0.032441351,0.020069944,0.036002835,0.036748217,0.024234483,0.032509084,0.030806048,0.028869963,0.034500304,0.036423021,0.037818745,0.033273963,0.037459004,0.037010153,0.040941572,0.036864008,0.029156651,0.030762896,0.035245626,0.033194977,0.03661646,0.035737416,0.04043024,0.040095445,0.039361308,0.036575564,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0.028214798,0.0357553,0.037983676,0.035613275,,,,0.032444223,0.034741322,0.027823723,0.035057585,0.035897098,0.035757289,0.035332981,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0.026767503,0.029060919,0.035512599,0.034336671,,,,,0.032807014,0.024178054,0.01857888,0.027952732,0.035135778,0.034702176,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.978850567,0.982949589,0.982185493,0.975527062,0.980080278,0.978316707,0.984970741,0.98496015,0.979714289,0.981597106,0.982984772,0.990628427,0.981081392,0.981732463,0.976081341,0.985907959,0.97981833,0.983813066,0.987109736,0.985685805,0.984224485,0.988358683,0.985000969,0.988609626,0.991182965,0.991626795,0.986680508,0.987209278,0.988721776,0.995098999,0.99289992,0.987993772,0.990960963,0.991337876,0.986706328,0.992099618,0.984047253,0.988469806,0.992620785,0.994764981,0.99050468,,,
