21/22,20/21,19/20,18/19,17/18,16/17,15/16,14/15,13/14,Dec-13,11-Dec,10-Nov,09-Oct,08-Sep,07-Aug,06-Jul,05-Jun,04-May,03-Apr,02-Mar,01-Feb,00/01,99/00,98/99,97/98,96/97,95/96,94/95,93/94,92/93,91/92,90/91,89/90,88/89,87/88,86/87,85/86,84/85,83/84,82/83,81/82
0.046656658,0.04243807,0.046266126,0.044202518,0.042076361,0.045448178,0.045209429,0.048680737,0.045062433,0.045238958,0.050355129,0.045950921,0.046101178,0.045891126,0.046405034,0.043668894,0.043656059,0.045415013,0.049791586,0.049007297,0.052195505,0.048847638,0.050809654,0.051199616,0.047934298,0.051991639,0.051077031,0.053405277,0.053384297,0.053384297,0.053384297,0.052272432,0.048824925,0.049993375,0.054401952,0.054708545,0.058387544,0.05550826,0.056962356,0.058387544,0.05550826
0.045980884,0.041718803,0.044916507,0.043494219,0.041362032,0.04477164,0.045209429,0.046651385,0.044375399,0.044549808,0.046374446,0.045950921,0.045417045,0.045891126,0.045022529,0.042950603,0.043656059,0.045415013,0.045357232,0.049007297,0.050522531,0.04797348,0.050809654,0.051199616,0.047934298,0.051991639,0.049390712,0.050955105,0.052272432,0.052272432,0.049993375,0.049993375,0.048824925,0.049993375,0.054401952,0.053178604,0.05550826,0.05550826,0.05550826,0.058387544,0.05550826
0.042494339,0.041718803,0.044916507,0.042778219,0.041362032,0.043397407,0.04312109,0.044557957,0.044375399,0.043853391,0.044992653,0.04526853,0.044725765,0.044520633,0.043610494,0.049804921,0.042176258,0.044707962,0.045357232,0.049007297,0.050522531,0.04797348,0.049953994,0.04951021,0.047049436,0.048529686,0.04766203,0.050118626,0.052272432,0.051142327,0.049993375,0.049993375,0.048824925,0.049993375,0.054401952,0.051615359,0.052508624,0.050960467,0.05550826,0.056962356,0.054024101
0.038811969,0.040991542,0.042838923,0.042778219,0.040639808,0.041993871,0.041691114,0.043845153,0.040828357,0.043149537,0.044290779,0.043882248,0.044725765,0.043824576,0.042167522,0.042950603,0.042176258,0.044707962,0.043499775,0.049007297,0.049670557,0.04797348,0.047321262,0.048649703,0.046153008,0.048529686,0.043139288,0.050118626,0.051142327,0.051142327,0.041361787,0.04519536,0.047636281,0.047636281,0.052878474,0.050017294,0.050960467,0.0390625,0.050960467,0.050960467,0.052508624
0.038811969,0.039512206,0.041416474,0.042778219,0.040639808,0.038347064,0.040964243,0.043124557,0.038603791,0.041718803,0.044290779,0.04526853,0.044725765,0.040229181,0.042167522,0.042224376,0.03671509,0.043993263,0.041590054,0.041660367,0.03952369,0.047088054,0.037729015,0.04777829,0.04339092,0.048529686,0.040273596,0.044874008,0.048824925,0.051142327,0.040033979,0.041361787,0.04519536,0.047636281,0.048103743,0.039591502,0.040890755,0.0390625,0.033262051,0.035252011,0.042672017
0.03490641,0.039512206,0.040693479,0.040582077,0.039909485,0.03682867,0.040964243,0.040160294,0.037076963,0.040256082,0.04358136,0.042466183,0.043321108,0.039485711,0.039941627,0.042224376,0.035895625,0.043993263,0.041590054,0.035571462,0.033263232,0.047088054,0.033467668,0.044177438,0.037502771,0.039020522,0.038292674,0.0284663,0.040033979,0.037296225,0.038679241,0.037296225,0.04266389,0.04266389,,,,,,,
0.034095527,0.036447807,0.037718169,0.040582077,0.037667734,0.035273206,0.040229181,0.037844919,0.035512712,0.035658173,0.039155688,0.038785809,0.038153057,0.037202523,0.039182411,0.041490015,0.034224091,0.043993263,0.022564851,0.032299572,0.028719212,0.031060276,0.032356594,0.030924058,0.023802007,0.030289684,0.035205001,0.020979169,0.024991248,0.034439235,0.029898369,0.035883442,0.040033979,0.041361787,,,,,,,
0.032441351,0.028057913,0.029603094,0.030084611,0.029562033,0.030359578,0.034834669,0.02944977,0.03309096,0.038759688,0.03602774,0.035682547,0.035002581,0.034834669,0.037636659,0.031954108,0.027041079,0.043270733,,,,,,,,,,,,,,,,,,,,,,,
0.031597294,0.025291934,0.025094554,0.025511238,0.025988411,0.023102596,0.032373931,0.031222847,0.029706304,0.02715069,0.027443188,0.028971628,0.033366317,0.034025196,0.034428092,0.031089871,0.072724658,0.038759688,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.980125414,0.975061821,0.980286984,0.980338594,0.976365434,0.9758742,0.983530183,0.985258924,0.979241968,0.983877411,0.986859575,0.986917441,0.987476343,0.98606271,0.985972549,0.982774158,0.976919606,0.989155709,0.976364388,0.983857739,0.981994884,0.984802925,0.981954903,0.988087263,0.979724764,0.987979372,0.98477575,0.979988989,0.986611634,0.990465111,0.983792325,0.987603198,0.988470487,0.98831867,0.990024937,0.988190429,0.989841195,0.985891791,0.988545314,0.989769956,0.988487098
